id,team,No,name,time_played,position,birthdate,height,weight,salary,nth_year,is_youth,nationality,j1_total_num_played,j1_total_scores,j2_total_num_played,j2_total_scores,j3_total_num_played,j3_total_scores,na_total_num_played,na_total_scores,prev3_team,prev2_team,prev1_team,prev3_div,prev2_div,prev1_div,prev3_num_played,prev2_num_played,prev1_num_played,prev3_scores,prev2_scores,prev1_scores,prev3_time_played,prev2_time_played,prev1_time_played
444,川崎F,11.0,小林　悠,2818.0,FW,1987-09-23,177.0,72.0,4000,7.0,,,135.0,40.0,5.0,0.0,,,2.0,0.0,川崎F,川崎F,川崎F,1,1,1,23,30,18,5,12,5,1563,2515,1153
445,川崎F,13.0,大久保　嘉人,2849.0,FW,1982-06-09,170.0,73.0,11000,4.0,,,338.0,156.0,29.0,18.0,,,60.0,6.0,川崎F,川崎F,川崎F,1,1,1,33,32,32,26,18,23,2967,2879,2868
446,川崎F,14.0,中村　憲剛,2785.0,MF,1980-10-31,175.0,66.0,10000,14.0,,,342.0,49.0,75.0,9.0,,,68.0,6.0,川崎F,川崎F,川崎F,1,1,1,29,30,33,7,3,2,2532,2545,2781
447,川崎F,15.0,原川　力,102.0,MF,1993-08-18,175.0,72.0,1200,1.0,,,,,71.0,1.0,1.0,0.0,,,京都,愛媛,京都,2,2,2,7,32,29,0,1,0,218,2464,2116
448,川崎F,16.0,長谷川　竜也,121.0,MF,1994-03-07,164.0,60.0,480,1.0,,,0.0,0.0,,,,,,,-,-,川崎F,-,-,1,-,-,0,-,-,0,-,-,0
449,川崎F,17.0,武岡　優斗,619.0,MF,1986-06-24,178.0,73.0,1200,3.0,,,34.0,1.0,135.0,14.0,,,,,横浜FC,川崎F,川崎F,2,1,1,40,4,30,4,0,1,3325,315,2170
450,川崎F,18.0,エウシーニョ,2885.0,DF,1989-11-30,180.0,78.0,5500,2.0,,brazil,34.0,8.0,,,,,,,BRA,BRA,川崎F,9,9,1,5,11,34,0,2,8,-,-,3007
451,川崎F,19.0,森谷　賢太郎,874.0,MF,1988-09-21,173.0,65.0,1300,4.0,,,73.0,6.0,,,,,,,川崎F,川崎F,川崎F,1,1,1,16,27,22,1,2,2,902,2095,1382
452,川崎F,20.0,車屋　紳太郎,2546.0,DF,1992-04-05,178.0,75.0,1000,2.0,,,32.0,0.0,,,,,,,-,川崎F,川崎F,-,1,1,-,2,30,-,0,0,-,175,2030
453,川崎F,21.0,エドゥアルド　ネット,2148.0,MF,1988-10-24,185.0,76.0,4800,1.0,,brazil,,,,,,,,,-,BRA,BRA,-,9,9,-,33,28,-,0,0,-,-,-
454,川崎F,22.0,中野　嘉大,315.0,MF,1993-02-24,176.0,66.0,650,2.0,,,10.0,1.0,,,,,,,-,-,川崎F,-,-,1,-,-,10,-,-,1,-,-,690
456,川崎F,24.0,安藤　駿介,0.0,GK,1990-08-10,185.0,81.0,550,7.0,1.0,,15.0,0.0,,,,,,,湘南,川崎F,川崎F,1,1,1,10,0,0,0,0,0,842,0,0
457,川崎F,25.0,狩野　健太,241.0,MF,1986-05-02,177.0,70.0,1400,1.0,,,141.0,12.0,,,,,,,柏,柏,柏,1,1,1,18,13,3,2,1,0,1120,447,61
458,川崎F,26.0,三好　康児,468.0,MF,1997-03-26,167.0,64.0,480,2.0,1.0,,3.0,0.0,,,8.0,1.0,,,-,川崎F,川崎F,-,1,1,-,0,3,-,0,0,-,0,32
459,川崎F,27.0,大塚　翔平,703.0,FW,1990-04-11,177.0,72.0,650,1.0,,,6.0,1.0,73.0,7.0,,,,,千葉,千葉,北九州,2,2,2,23,19,16,3,2,1,1309,1095,621
460,川崎F,28.0,板倉　滉,21.0,DF,1997-01-27,186.0,75.0,480,2.0,1.0,,0.0,0.0,,,2.0,0.0,,,-,川崎F,川崎F,-,1,1,-,0,0,-,0,0,-,0,0
461,川崎F,29.0,高木　駿,111.0,GK,1989-05-22,181.0,76.0,650,3.0,,,0.0,0.0,40.0,0.0,,,,,川崎F,千葉,千葉,1,2,2,0,9,31,0,0,0,0,810,2790
462,川崎F,30.0,新井　章太,397.0,GK,1988-11-01,184.0,84.0,650,4.0,,,23.0,0.0,0.0,0.0,,,,,川崎F,川崎F,川崎F,1,1,1,0,0,23,0,0,0,0,0,2070
464,大宮,1.0,加藤　順大,1710.0,GK,1984-12-11,180.0,80.0,2000,2.0,,,85.0,0.0,37.0,0.0,,,,,浦和,浦和,大宮,1,1,2,25,0,37,0,0,0,2250,0,3330
465,大宮,2.0,菊地　光将,2286.0,DF,1985-12-16,182.0,74.0,3000,5.0,,,181.0,9.0,29.0,1.0,,,,,大宮,大宮,大宮,1,1,2,34,21,29,2,3,1,2970,1819,2453
466,大宮,3.0,河本　裕之,2790.0,DF,1985-09-04,182.0,74.0,3000,3.0,,,181.0,10.0,77.0,11.0,,,,,神戸,神戸,大宮,2,1,2,21,21,33,2,2,4,1706,1329,2961
467,大宮,4.0,山越　康平,805.0,DF,1993-05-04,183.0,78.0,480,1.0,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
468,大宮,5.0,沼田　圭悟,1119.0,DF,1990-07-24,170.0,65.0,750,1.0,,,0.0,0.0,63.0,10.0,,,,,G大阪,讃岐,讃岐,2,2,2,0,27,36,0,5,5,-,2003,2822
469,大宮,7.0,江坂　任,2091.0,MF,1992-05-31,175.0,67.0,900,1.0,,,,,42.0,13.0,,,,,-,-,群馬,-,-,2,-,-,42,-,-,13,-,-,3682
470,大宮,8.0,ムルジャ,1989.0,FW,1984-01-23,187.0,79.0,10000,3.0,,serbia,18.0,9.0,36.0,19.0,,,14.0,2.0,SRB,大宮,大宮,9,1,2,23,18,36,19,9,19,-,1427,2522
471,大宮,9.0,ネイツ　ペチュニク,1061.0,FW,1986-01-03,189.0,83.0,8000,1.0,,slovenia,,,39.0,14.0,,,30.0,6.0,SRB,SRB,千葉,9,9,2,28,15,39,7,2,14,-,-,3273
472,大宮,10.0,岩上　祐三,1201.0,MF,1989-07-28,170.0,69.0,2200,1.0,,,42.0,5.0,76.0,15.0,,,,,湘南・松本,松本,松本,2,2,1,22,41,33,3,8,4,1340,3648,2970
473,大宮,11.0,播戸　竜二,6.0,FW,1979-08-02,171.0,67.0,2100,2.0,,,324.0,87.0,55.0,20.0,,,7.0,2.0,C大阪・鳥栖,鳥栖,大宮,1,1,2,6,5,22,0,0,5,84,25,837
474,大宮,13.0,渡部　大輔,509.0,DF,1989-04-19,170.0,67.0,1900,9.0,1.0,,99.0,2.0,30.0,1.0,,,,,大宮,大宮,大宮,1,1,2,20,9,30,0,0,1,1028,675,2493
475,大宮,14.0,清水　慎太郎,371.0,FW,1992-08-23,175.0,72.0,1100,5.0,,,11.0,1.0,71.0,11.0,,,,,大宮・岡山,岡山,大宮,2,2,2,11,32,29,4,5,2,404,1882,1222
476,大宮,15.0,大山　啓輔,565.0,MF,1995-05-07,174.0,67.0,500,3.0,1.0,,0.0,0.0,13.0,0.0,,,,,大宮,大宮,大宮,1,1,2,0,0,13,0,0,0,0,0,424
477,大宮,16.0,マテウス,676.0,FW,1994-09-11,167.0,69.0,500,3.0,,brazil,,,5.0,0.0,,,,,-,BRA・大宮,BRA・大宮,-,1,2,-,0,5,-,0,0,-,-,78
482,大宮,17.0,横谷　繁,2438.0,MF,1987-05-03,178.0,73.0,2200,2.0,,,18.0,0.0,180.0,27.0,,,,,京都,京都,大宮,2,2,2,37,24,38,11,0,8,2962,894,2970
483,大宮,18.0,横山　知伸,899.0,DF,1985-03-18,184.0,75.0,1900,3.0,,,117.0,4.0,41.0,3.0,,,,,C大阪,大宮,大宮,1,1,2,11,21,41,1,0,3,436,1742,3460
484,大宮,19.0,奥井　諒,2111.0,DF,1990-03-07,169.0,66.0,1600,1.0,,,57.0,1.0,40.0,2.0,,,,,神戸,神戸,神戸,2,1,1,40,13,17,2,0,0,3570,982,934
485,大宮,20.0,大屋　翼,1185.0,DF,1986-08-13,180.0,79.0,800,2.0,,,28.0,1.0,40.0,0.0,,,,,神戸,神戸,大宮,2,1,2,20,12,18,0,0,0,1393,624,978
486,大宮,21.0,塩田　仁史,1350.0,GK,1981-05-28,185.0,78.0,800,2.0,,,67.0,0.0,23.0,0.0,,,,,FC東京,FC東京,大宮,1,1,2,1,2,5,0,0,0,90,135,450
487,大宮,22.0,和田　拓也,1808.0,DF,1990-07-28,170.0,63.0,1300,4.0,,,33.0,0.0,108.0,2.0,,,,,仙台・大宮,大宮,大宮,1,1,2,13,20,34,0,0,2,715,1384,2914
488,大宮,23.0,金澤　慎,2117.0,MF,1983-09-09,175.0,70.0,2000,13.0,1.0,,175.0,5.0,149.0,9.0,,,,,大宮,大宮,大宮,1,1,2,25,18,23,2,1,1,2104,1320,1773
489,大宮,25.0,高山　和真,90.0,DF,1996-07-14,180.0,76.0,380,2.0,1.0,,,,0.0,0.0,14.0,0.0,,,-,-,大宮,-,-,2,-,-,0,-,-,0,-,-,0
492,大宮,28.0,福田　俊介,135.0,DF,1986-04-17,188.0,84.0,700,7.0,,,20.0,0.0,66.0,8.0,,,,,大宮,大宮,大宮,1,1,2,1,9,12,0,0,2,1,83,588
496,大宮,39.0,泉澤　仁,2022.0,MF,1991-12-17,165.0,63.0,1200,3.0,,,16.0,0.0,41.0,7.0,,,,,大宮,大宮,大宮,1,1,2,0,16,41,0,0,7,0,906,3004
497,大宮,41.0,家長　昭博,2313.0,MF,1986-06-13,173.0,70.0,7800,3.0,,,193.0,21.0,50.0,12.0,,,3.0,0.0,G大阪・SPA,大宮,大宮,2,1,2,17,33,33,1,6,11,1104,2920,2869
498,大宮,50.0,松井　謙弥,0.0,GK,1985-09-10,187.0,72.0,700,1.0,,,24.0,0.0,36.0,0.0,,,,,徳島,徳島,川崎F,2,1,1,36,6,0,0,0,0,3240,540,0
499,鳥栖,1.0,赤星　拓,0.0,GK,1984-04-21,185.0,80.0,800,10.0,,,57.0,0.0,86.0,0.0,,,,,鳥栖,鳥栖,鳥栖,1,1,1,16,0,11,0,0,0,1395,0,985
500,鳥栖,2.0,三丸　拡,270.0,DF,1993-07-06,172.0,69.0,480,1.0,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
501,鳥栖,3.0,磯崎　敬太,0.0,DF,1980-11-17,180.0,76.0,1000,8.0,,,45.0,0.0,280.0,5.0,,,,,鳥栖,鳥栖,鳥栖,1,1,1,9,2,2,0,0,0,721,21,41
502,鳥栖,4.0,小林　久晃,2.0,DF,1979-06-20,185.0,78.0,1300,5.0,,,124.0,4.0,87.0,5.0,,,,,鳥栖,鳥栖,鳥栖,1,1,1,20,11,4,0,1,0,910,580,14
503,鳥栖,5.0,キム　ミンヒョク,2970.0,DF,1992-02-27,187.0,73.0,2200,3.0,,korea,52.0,0.0,,,,,1.0,0.0,-,鳥栖,鳥栖,-,1,1,-,27,25,-,0,0,-,2268,1930
505,鳥栖,6.0,岡本　知剛,382.0,MF,1990-06-29,179.0,70.0,1500,5.0,,,65.0,0.0,35.0,1.0,,,,,広島,鳥栖,鳥栖,1,1,1,6,19,11,0,0,0,184,919,516
506,鳥栖,8.0,藤田　優人,2841.0,DF,1986-05-08,176.0,75.0,1200,1.0,,,57.0,1.0,80.0,2.0,,,,,柏,柏,柏,1,1,1,15,13,10,0,1,0,1102,848,719
510,鳥栖,10.0,金　民友,2620.0,MF,1990-02-25,172.0,69.0,5000,7.0,,korea,131.0,15.0,52.0,11.0,,,12.0,1.0,鳥栖,鳥栖,鳥栖,1,1,1,33,34,33,5,6,2,2932,2929,2868
511,鳥栖,11.0,豊田　陽平,2970.0,FW,1985-04-11,185.0,79.0,8000,7.0,,,183.0,76.0,124.0,53.0,,,8.0,1.0,鳥栖,鳥栖,鳥栖,1,1,1,33,34,29,20,15,16,2969,3026,2199
513,鳥栖,13.0,坂井　達弥,0.0,DF,1990-11-19,183.0,77.0,800,5.0,,,28.0,0.0,,,,,1.0,0.0,鳥栖,鳥栖,松本・鳥栖,1,1,1,14,9,3,0,0,0,1147,801,52
514,鳥栖,14.0,高橋　義希,2845.0,MF,1985-05-14,170.0,67.0,2800,11.0,,,144.0,3.0,242.0,20.0,,,,,鳥栖,鳥栖,鳥栖,1,1,1,34,30,32,2,1,0,2764,1952,2445
515,鳥栖,15.0,丹羽　竜平,0.0,DF,1986-01-13,176.0,68.0,2500,7.0,,,140.0,2.0,140.0,3.0,,,,,鳥栖,鳥栖,鳥栖,1,1,1,33,33,19,1,1,0,2948,2911,1585
516,鳥栖,16.0,崔　誠根,1214.0,MF,1991-07-28,181.0,69.0,1200,3.0,,korea,27.0,0.0,9.0,0.0,,,,,甲府,鳥栖,鳥栖,1,1,1,1,7,19,0,0,0,9,122,962
517,鳥栖,18.0,富山　貴光,1096.0,FW,1990-12-26,180.0,73.0,1400,1.0,,,41.0,3.0,12.0,1.0,,,,,大宮,大宮,大宮,1,1,2,26,15,12,3,0,1,664,663,400
518,鳥栖,19.0,楠神　順平,31.0,MF,1987-08-27,171.0,63.0,2100,1.0,,,120.0,10.0,21.0,3.0,,,,,C大阪,C大阪,C大阪,1,1,2,24,26,21,0,1,3,721,907,1132
519,鳥栖,20.0,中美　慶哉,0.0,MF,1991-09-23,177.0,69.0,1400,1.0,,,,,56.0,1.0,,,,,-,栃木,栃木,-,2,2,-,15,41,-,1,10,-,504,3109
521,鳥栖,22.0,池田　圭,158.0,FW,1986-10-20,178.0,72.0,1800,8.0,,,116.0,15.0,74.0,9.0,,,,,鳥栖,鳥栖,鳥栖,1,1,1,31,33,26,6,5,1,2466,2401,1627
522,鳥栖,23.0,吉田　豊,2879.0,DF,1990-02-17,168.0,72.0,2300,2.0,,,139.0,3.0,60.0,0.0,,,,,清水,清水,鳥栖,1,1,1,28,32,31,1,1,1,2155,2726,2592
523,鳥栖,24.0,鎌田　大地,2186.0,MF,1996-08-05,180.0,72.0,1000,2.0,,,21.0,3.0,,,2.0,0.0,,,-,-,鳥栖,-,-,1,-,-,21,-,-,3,-,-,1093
524,鳥栖,25.0,早坂　良太,1393.0,MF,1985-09-19,183.0,73.0,1100,7.0,,,98.0,6.0,73.0,14.0,,,,,鳥栖,鳥栖,鳥栖,1,1,1,26,28,23,3,3,0,1182,1034,1032
525,鳥栖,26.0,平　秀斗,0.0,DF,1994-06-25,170.0,66.0,380,4.0,,,0.0,0.0,,,14.0,2.0,,,鳥栖,鳥栖,鳥栖,1,1,1,0,0,0,0,0,0,0,0,0
526,鳥栖,29.0,谷口　博之,2970.0,MF,1985-06-27,182.0,73.0,2800,3.0,,,306.0,50.0,11.0,1.0,,,,,柏,鳥栖,鳥栖,1,1,1,8,28,33,0,2,4,456,650,2766
527,鳥栖,30.0,福田　晃斗,1893.0,MF,1992-05-01,170.0,65.0,400,2.0,,,7.0,0.0,,,,,,,鳥栖,鳥栖,鳥栖,1,1,1,2,2,3,0,0,0,48,28,27
528,鳥栖,33.0,林　彰洋,3060.0,GK,1987-05-07,195.0,93.0,3800,4.0,,,110.0,0.0,,,,,,,清水・鳥栖,鳥栖,鳥栖,1,1,1,27,34,23,0,0,0,2430,3060,2070
530,鳥栖,36.0,菊地　直哉,190.0,DF,1984-11-24,181.0,74.0,2300,4.0,,,216.0,7.0,35.0,0.0,,,1.0,0.0,新潟・鳥栖,鳥栖,鳥栖,1,1,1,19,21,31,0,0,0,1452,1710,2760
531,鳥栖,39.0,岡田　翔平,712.0,FW,1989-04-29,169.0,68.0,1300,4.0,,,37.0,1.0,47.0,14.0,,,,,鳥栖,湘南,湘南・鳥栖,1,2,1,12,35,3,1,14,0,296,2105,165
535,柏,1.0,桐畑　和繁,540.0,GK,1987-06-30,187.0,77.0,750,11.0,1.0,,24.0,0.0,2.0,0.0,,,,,柏,柏,柏,1,1,1,0,11,5,0,0,0,0,937,419
536,柏,2.0,鎌田　次郎,1113.0,DF,1985-07-28,179.0,76.0,2000,3.0,,,213.0,10.0,15.0,0.0,,,,,仙台,仙台,仙台,1,1,1,29,31,25,0,2,1,2610,2708,2232
541,柏,4.0,中谷　進之介,2790.0,DF,1996-03-24,184.0,77.0,600,3.0,1.0,,8.0,0.0,,,13.0,0.0,,,柏,柏,柏,1,1,1,0,5,3,0,0,0,0,450,184
542,柏,5.0,増嶋　竜也,1110.0,DF,1985-04-22,179.0,75.0,2500,6.0,,,226.0,11.0,,,,,,,柏,柏,柏,1,1,1,25,16,2,1,1,0,1907,1371,135
543,柏,6.0,山中　亮輔,553.0,DF,1993-04-20,171.0,65.0,800,5.0,1.0,,22.0,0.0,23.0,3.0,4.0,0.0,,,柏,千葉,柏,1,2,1,10,23,11,0,3,0,525,875,318
544,柏,7.0,大谷　秀和,1371.0,MF,1984-11-06,174.0,67.0,4000,14.0,1.0,,274.0,11.0,64.0,3.0,,,,,柏,柏,柏,1,1,1,31,30,31,0,0,2,2770,2579,2722
545,柏,8.0,茨田　陽生,1832.0,MF,1991-05-30,173.0,68.0,1800,7.0,1.0,,129.0,2.0,26.0,3.0,,,,,柏,柏,柏,1,1,1,23,23,28,0,1,0,1333,1468,1831
547,柏,10.0,大津　祐樹,601.0,FW,1990-03-24,180.0,73.0,3300,6.0,,,71.0,7.0,9.0,1.0,,,2.0,0.0,HOL,HOL,柏,9,9,1,20,8,14,4,1,1,-,-,471
548,柏,11.0,ディエゴ　オリヴェイラ,2482.0,FW,1990-06-22,179.0,78.0,4500,1.0,,brazil,,,,,,,,,BRA,BRA・BRA,BRA・BRA,9,9,9,17,32,46,2,6,8,-,-,-
549,柏,13.0,エドゥアルド,0.0,DF,1993-04-27,184.0,84.0,1500,3.0,,brazil,35.0,3.0,34.0,4.0,,,,,鳥取,栃木・柏,柏,2,2,1,15,25,29,2,3,2,817,2198,2548
550,柏,14.0,伊東　純也,2676.0,FW,1993-03-09,176.0,68.0,1000,1.0,,,30.0,4.0,,,,,,,-,甲府,甲府,-,1,1,-,0,30,-,0,4,-,0,1392
551,柏,15.0,武富　孝介,1804.0,MF,1990-09-23,173.0,69.0,1500,4.0,1.0,,49.0,5.0,110.0,25.0,,,,,湘南,湘南,柏,1,2,1,21,39,28,3,9,2,1085,3108,2019
552,柏,16.0,稲田　康志,0.0,GK,1985-06-19,187.0,84.0,750,7.0,,,6.0,0.0,12.0,0.0,,,,,柏,柏,柏,1,1,1,2,0,0,0,0,0,136,0,0
553,柏,17.0,秋野　央樹,1754.0,MF,1994-10-08,176.0,68.0,800,4.0,1.0,,25.0,0.0,,,11.0,0.0,,,柏,柏,柏,1,1,1,2,7,16,0,0,0,14,479,1041
554,柏,18.0,エデルソン,340.0,FW,1989-03-13,171.0,68.0,6000,2.0,,brazil,8.0,1.0,,,,,,,BRA,BRA・UAE,柏,9,9,1,36,38,8,21,15,1,-,-,414
555,柏,19.0,中川　寛斗,1449.0,MF,1994-11-03,155.0,60.0,650,2.0,1.0,,12.0,1.0,3.0,0.0,4.0,0.0,,,湘南,湘南,柏,1,2,1,7,3,5,0,0,1,291,70,232
556,柏,20.0,ジュリアーノ　ミネイロ,0.0,MF,1986-02-14,175.0,74.0,4000,1.0,,brazil・Democratic Republic of Timor-Leste,,,,,,,,,BRA,BRA・THA,THA,9,9,9,8,21,27,2,2,7,-,-,-
557,柏,21.0,湯澤　聖人,668.0,DF,1993-10-10,179.0,74.0,480,1.0,,,0.0,0.0,,,,,,,-,-,柏,-,-,1,-,-,0,-,-,0,-,-,0
558,柏,22.0,輪湖　直樹,2295.0,DF,1989-11-26,171.0,65.0,1200,3.0,1.0,,33.0,2.0,116.0,2.0,,,,,水戸,柏,柏,2,1,1,28,4,29,1,0,2,2261,136,2471
559,柏,23.0,中村　航輔,2520.0,GK,1995-02-27,185.0,82.0,600,3.0,1.0,,0.0,0.0,20.0,0.0,3.0,0.0,,,柏,柏,福岡,1,1,2,0,0,20,0,0,0,0,0,1800
560,柏,25.0,小林　祐介,1506.0,MF,1994-10-23,172.0,65.0,700,4.0,1.0,,24.0,0.0,,,4.0,0.0,,,柏,柏,柏,1,1,1,0,10,14,0,0,0,0,486,811
561,柏,26.0,太田　徹郎,112.0,MF,1989-07-02,176.0,71.0,1300,4.0,1.0,,88.0,12.0,18.0,1.0,,,,,柏,柏,柏,1,1,1,12,18,22,3,4,2,523,965,767
562,柏,27.0,今井　智基,90.0,DF,1990-11-29,178.0,78.0,1200,2.0,,,56.0,2.0,5.0,0.0,,,,,大宮,大宮,大宮・柏,1,1,2,23,30,8,1,1,0,1900,2626,457
563,柏,28.0,栗澤　僚一,1304.0,MF,1982-09-05,170.0,64.0,2500,9.0,,,238.0,5.0,31.0,0.0,,,,,柏,柏,柏,1,1,1,26,14,19,0,0,0,1938,815,892
564,柏,29.0,中山　雄太,2213.0,DF,1997-02-16,181.0,76.0,480,2.0,1.0,,1.0,0.0,,,12.0,0.0,,,柏,柏,柏,1,1,1,0,0,1,0,0,0,0,0,22
565,柏,30.0,手塚　康平,0.0,MF,1996-04-06,176.0,66.0,380,1.0,1.0,,0.0,0.0,,,,,,,-,柏,NZL,-,1,9,-,0,22,-,0,4,-,0,-
566,柏,31.0,大島　康樹,4.0,FW,1996-05-30,177.0,66.0,480,2.0,1.0,,2.0,0.0,,,12.0,0.0,,,-,柏,柏,-,1,1,-,1,1,-,0,0,-,23,20
575,磐田,1.0,八田　直樹,360.0,GK,1986-06-24,185.0,76.0,1500,12.0,1.0,,72.0,0.0,36.0,0.0,,,,,磐田,磐田,磐田,1,2,2,13,35,1,0,0,0,1170,3105,90
576,磐田,2.0,中村　太亮,2342.0,DF,1989-07-19,183.0,68.0,1800,1.0,,,32.0,1.0,130.0,8.0,,,,,山形,千葉,千葉,2,2,2,38,42,36,2,4,1,3322,3780,3110
577,磐田,3.0,大井　健太郎,2655.0,DF,1984-05-14,181.0,74.0,2400,9.0,,,191.0,7.0,36.0,2.0,,,,,新潟,新潟,新潟,1,1,1,33,33,27,2,1,2,2912,2967,2324
578,磐田,4.0,小林　祐希,2052.0,MF,1992-04-24,182.0,72.0,1400,5.0,,,12.0,0.0,138.0,14.0,,,,,磐田,磐田,磐田,1,2,2,1,36,40,0,2,6,10,2762,2985
579,磐田,5.0,櫻内　渚,1211.0,DF,1989-08-11,176.0,73.0,1000,5.0,,,2.0,0.0,62.0,8.0,,,,,磐田,磐田,磐田,1,2,2,2,21,41,0,3,5,37,1617,3674
580,磐田,7.0,上田　康太,1205.0,MF,1986-05-09,174.0,67.0,1500,8.0,1.0,,172.0,8.0,71.0,4.0,,,,,大宮,大宮・岡山,磐田,1,2,2,11,35,36,0,2,2,509,2983,3110
581,磐田,8.0,ジェイ,1765.0,FW,1982-05-07,190.0,89.0,8000,2.0,,england,,,32.0,20.0,,,1.0,0.0,-,THA,磐田,-,9,2,-,16,31,-,6,20,-,-,2542
582,磐田,9.0,太田　吉彰,2944.0,MF,1983-06-11,176.0,72.0,2300,10.0,1.0,,268.0,33.0,39.0,4.0,,,,,仙台,仙台,磐田,1,1,2,34,34,39,2,2,4,2563,2661,2947
583,磐田,11.0,松浦　拓弥,490.0,MF,1988-12-21,167.0,64.0,1500,9.0,,,115.0,9.0,45.0,4.0,,,,,磐田,磐田,磐田,1,2,2,26,19,26,2,1,3,1318,983,1062
584,磐田,13.0,宮崎　智彦,2727.0,MF,1986-11-21,170.0,68.0,1500,5.0,,,53.0,1.0,93.0,4.0,,,,,磐田,磐田,磐田,1,2,2,23,25,40,0,1,2,1964,2101,3482
585,磐田,14.0,高木　和道,0.0,DF,1980-11-21,188.0,75.0,1800,1.0,,,252.0,5.0,69.0,3.0,,,5.0,0.0,大分,大分,岐阜,1,2,2,21,40,29,0,1,2,1782,3530,1896
586,磐田,15.0,アダイウトン,2852.0,MF,1990-12-06,176.0,83.0,4500,2.0,,brazil,,,39.0,17.0,,,,,BRA・BRA,BRA,磐田,9,9,2,33,14,39,5,7,17,-,-,3188
587,磐田,16.0,齊藤　和樹,527.0,FW,1988-11-21,178.0,71.0,1500,1.0,,,,,156.0,31.0,,,,,熊本,熊本,熊本,2,2,2,37,41,41,8,7,12,2736,3616,3598
588,磐田,17.0,清水　貴文,9.0,MF,1992-06-30,170.0,66.0,500,2.0,1.0,,,,12.0,0.0,,,,,-,-,磐田,-,-,2,-,-,12,-,-,0,-,-,128
589,磐田,18.0,小川　航基,0.0,FW,1997-08-08,186.0,78.0,380,1.0,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
591,磐田,20.0,森島　康仁,244.0,FW,1987-09-18,188.0,88.0,1300,2.0,,,68.0,12.0,165.0,37.0,,,,,大分,川崎F,磐田,1,1,2,30,12,26,7,2,3,1402,289,1024
592,磐田,21.0,カミンスキー,1800.0,GK,1990-11-26,191.0,82.0,3000,2.0,,poland,,,42.0,0.0,,,,,POL,POL,磐田,9,9,2,10,19,42,0,0,0,-,-,3690
593,磐田,22.0,松井　大輔,555.0,MF,1981-05-11,175.0,66.0,4500,3.0,,,72.0,7.0,117.0,18.0,,,31.0,1.0,POL,磐田,磐田,9,2,2,16,36,26,4,6,3,-,2597,900
594,磐田,23.0,山本　康裕,1828.0,MF,1989-10-29,179.0,77.0,2500,10.0,,,195.0,20.0,1.0,0.0,,,,,磐田,磐田・新潟,新潟,1,1,1,27,21,33,1,2,7,1548,1801,2597
595,磐田,24.0,小川　大貴,509.0,DF,1991-10-16,172.0,73.0,480,3.0,1.0,,,,6.0,0.0,,,,,-,磐田,磐田,-,2,2,-,4,2,-,0,0,-,313,95
599,磐田,30.0,上原　力也,1.0,MF,1996-08-25,174.0,66.0,400,2.0,1.0,,,,0.0,0.0,6.0,0.0,,,-,-,磐田,-,-,2,-,-,0,-,-,0,-,-,0
600,磐田,31.0,志村　滉,900.0,GK,1996-04-27,186.0,76.0,400,2.0,,,,,0.0,0.0,,,,,-,-,磐田,-,-,2,-,-,0,-,-,0,-,-,0
601,磐田,32.0,岩元　颯オリビエ,0.0,FW,1996-04-03,183.0,72.0,400,2.0,,,,,0.0,0.0,12.0,0.0,,,-,-,磐田,-,-,2,-,-,0,-,-,0,-,-,0
602,磐田,33.0,藤田　義明,1293.0,DF,1983-01-12,181.0,77.0,2600,6.0,,,184.0,4.0,97.0,1.0,,,,,磐田,磐田,磐田,1,2,2,32,41,36,0,0,1,2859,3683,3007
603,磐田,34.0,中村　祐輝,0.0,FW,1987-06-04,183.0,80.0,600,2.0,,,,,25.0,2.0,,,,,岐阜,岐阜,磐田,2,2,2,9,1,15,1,0,1,675,74,236
604,磐田,35.0,森下　俊,2289.0,DF,1986-05-11,178.0,73.0,1500,7.0,1.0,,53.0,0.0,92.0,1.0,,,,,横浜FC,磐田,磐田,2,2,2,23,20,18,0,1,0,1910,1742,1459
607,磐田,40.0,川辺　駿,1808.0,MF,1995-09-08,178.0,70.0,700,2.0,,,4.0,0.0,33.0,3.0,,,,,広島,広島,磐田,1,1,2,3,1,33,0,0,3,104,21,1974
609,福岡,1.0,神山　竜一,720.0,GK,1984-11-10,188.0,97.0,2000,14.0,,,18.0,0.0,216.0,0.0,,,,,福岡,福岡,福岡,2,2,2,28,37,21,0,0,0,2497,3330,1890
610,福岡,2.0,濱田　水輝,1620.0,DF,1990-05-18,186.0,83.0,1000,2.0,,,33.0,0.0,26.0,4.0,,,,,新潟,浦和,福岡,1,1,2,6,5,26,0,0,4,330,207,2326
611,福岡,3.0,阿部　巧,90.0,DF,1991-05-26,168.0,68.0,1200,3.0,,,0.0,0.0,127.0,3.0,,,,,FC東京・松本,福岡,福岡,2,2,2,9,34,21,0,0,1,680,2796,1469
613,福岡,5.0,實藤　友紀,1516.0,DF,1989-01-19,179.0,72.0,1500,1.0,,,74.0,2.0,,,,,,,川崎F,川崎F,川崎F,1,1,1,22,13,1,0,0,0,1679,1060,4
